run,group,dataset,count,answer_recall_at_5,answer_recall_at_10,answer_recall_at_20,answer_mrr_at_10,answer_mrr_at_20,evidence_group_recall_at_5,evidence_group_recall_at_10,evidence_group_recall_at_20,all_evidence_success_at_5,all_evidence_success_at_10,all_evidence_success_at_20,evidence_mapping_success,generator_em,generator_token_f1,source
G3-R2-RL-MRR-Graded,g3-r2,musique,2417,0.1899,0.2396,0.2938,0.1351,0.1389,0.0757,0.0838,0.0911,0.0074,0.0128,0.0182,0.2052,0.06,0.1308,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
G3-R2-RL-MRR-Graded,g3-r2,bamboogle,125,0.168,0.264,0.36,0.113,0.1196,,,,,,,,0.176,0.2701,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
G3-R2-RL-MRR-Graded,g3-r2,training_domain_avg,,0.5901,0.6539,0.702,0.4822,0.4856,,,,,,,,0.342,0.4436,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
G3-R2-RL-MRR-Graded,g3-r2,held_out_avg,,0.4394,0.5012,0.559,0.3573,0.3613,,,,,,,,0.3073,0.3844,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
G3-R2-RL-MRR-Graded,g3-r2,macro_avg,,0.4824,0.5448,0.5999,0.393,0.3968,,,,,,,,0.3172,0.4013,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,nq,3610,0.7083,0.7809,0.8327,0.5797,0.5834,,,,,,,,0.3612,0.4663,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,hotpotqa,7405,0.4987,0.5535,0.6088,0.397,0.4009,0.0968,0.1082,0.1173,0.0552,0.0721,0.0867,0.1529,0.3332,0.4345,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,popqa,14267,0.712,0.7662,0.8094,0.6057,0.6088,,,,,,,,0.417,0.4891,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,triviaqa,11313,0.7503,0.7956,0.8275,0.6535,0.6557,,,,,,,,0.61,0.6962,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,2wikimultihopqa,12576,0.3984,0.4626,0.5219,0.2949,0.299,0.2083,0.2286,0.244,0.0613,0.0913,0.1167,0.3746,0.2875,0.3487,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,musique,2417,0.2122,0.276,0.3401,0.1512,0.1557,0.0713,0.0788,0.0857,0.0083,0.0128,0.0186,0.2052,0.067,0.1463,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,bamboogle,125,0.2,0.296,0.4,0.1328,0.1393,,,,,,,,0.216,0.2909,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,training_domain_avg,,0.6035,0.6672,0.7207,0.4883,0.4921,,,,,,,,0.3472,0.4504,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,held_out_avg,,0.4546,0.5193,0.5798,0.3676,0.3717,,,,,,,,0.3195,0.3942,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-MixedNDCGF1-Anchor050,g3-r2,macro_avg,,0.4971,0.5615,0.6201,0.4021,0.4061,,,,,,,,0.3274,0.4103,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MixedNDCGF1-Anchor050-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,nq,3610,0.7061,0.7698,0.8194,0.5777,0.5812,,,,,,,,0.3518,0.4576,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,hotpotqa,7405,0.5036,0.5666,0.617,0.3932,0.3968,0.1006,0.1132,0.1199,0.0636,0.0836,0.0939,0.1529,0.3233,0.4255,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,popqa,14267,0.6701,0.7301,0.7774,0.5661,0.5695,,,,,,,,0.4054,0.4731,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,triviaqa,11313,0.6886,0.7437,0.784,0.5876,0.5904,,,,,,,,0.565,0.6484,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,2wikimultihopqa,12576,0.385,0.4443,0.4957,0.2887,0.2923,0.2105,0.2279,0.2406,0.0684,0.0933,0.1128,0.3746,0.2758,0.338,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,musique,2417,0.1713,0.2164,0.2714,0.1213,0.1251,0.0692,0.0777,0.0844,0.0079,0.0132,0.0178,0.2052,0.0534,0.1269,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,bamboogle,125,0.192,0.232,0.296,0.114,0.1186,,,,,,,,0.16,0.2578,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,training_domain_avg,,0.6048,0.6682,0.7182,0.4854,0.489,,,,,,,,0.3375,0.4415,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,held_out_avg,,0.4214,0.4733,0.5249,0.3355,0.3392,,,,,,,,0.2919,0.3688,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
G3-R2-ShortRL-CP-Graded,g3-r2,macro_avg,,0.4738,0.529,0.5801,0.3784,0.382,,,,,,,,0.305,0.3896,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-ShortRL-CP-Graded-s42/qa_eval/summary.json
